name,planttype,color,maintenance
Achillea (Yarrow),Perennials,"Yarrow comes in a wide range of colors including white, cream, yellow, purple, orange, pink and red.",low
Aconitum (Aconite; Monkshood; Wolfsbane),Perennials,"The flowers come in shades of blue, purple, white, yellow, or even pink.",medium
Agapanthus (African Lily; Lily of the Nile),"Bulbs, Perennials","These flowers are usually blue, white and purple.",low
Ageratum (Whiteweed; Flossflower),Annuals,"The flowers come in shades of blue, purple, red, pink and white.",low
Ajuga (Bugle; Bugleweed),"Annuals, Perennials","The flowers are usually blue, purple and white.",low
Alcea (Hollyhock),"Annuals, Perennials","Hollyhock blooms in a rainbow of colors including red, purple, pink, white, yellow and even almost black.",hard
Allium (Ornamental Onion),"Bulbs, Perennials","Most Alliums come in shades of purple, but there are pink, blue, white and yellow varieties as well.",low
Alstroemeria (Peruvian lily; Lily of the Incas),"Bulbs, Perennials","The flowers come in various colors, from orange, pink, rose, purple, red to yellow and white.",low
Amaryllis (Amaryllis),"Bulbs, Perennials",The flower color is usually some shade of pink and sometimes even white.,low
Amsonia (Blue Star),Perennials,"The flowers are usually white but may be blue, pink and purple.",low
Anemone (Windflower),Perennials,The flowers can be found in all colors of the rainbow.,low
Anthurium (Flamingo Flower; Laceleaf),Perennials,"These plants range in color from red to pink, purple, yellow, white and green.",low
Antirrhinum (Snapdragon; Dragon Flower),"Annuals, Perennials","The flowers come in a range of colors including white, red, pink, orange, yellow, green and purple. Bicolor varieties are also available.",low
Aquilegia (Columbine),Perennials,"The flowers are yellow, white, blue, red, pink, purple or a combination of these shades.",low
Asclepias (Milkweed),Perennials,"These flowers come in shades of red, purple, pink, orange, yellow and white.",low
Aster (Starwort; Frost flower),Perennials,"The flowers can be white, blue, purple, and red, mostly with yellow centers.",medium
Astilbe (False Goat's Beard),Perennials,"The flowers are available in white, pink and red colors.",low
Astrantia (Masterwort),Perennials,"The flower colors are white, pink, purple and red.",medium
Banksia (Australian Honeysuckle),"Perennials, Shrubs, Trees","Banksia flowers are yellow, creamy, orange, red, green, violet or even brown.",low
Baptisia (False Indigo),Perennials,"Baptisia comes in shades of blue, yellow and white, while many hybrids can be found in a wide variety of colors.",low
Begonia (Begonia),"Annuals, Bulbs, Perennials","Begonias come in many different colors, but mostly in red, white, yellow, orange and pink.",low
Bellis (Daisy),Perennials,"These flowers come in shades of white, red, pink and purple. They usually have white petals and a yellow center, but many cultivars are available in a range of colors.",low
Bergenia (Elephants Ears; Winter Glow; Pigsqueak),Perennials,"Bergenia comes in shades of red, pink, purple and white.",low
Borago (Borage),"Annuals, Perennials","The flowers are mostly blue in color, but can also be pink.",low
Bougainvillea (Bougainvillea),"Climbers, Shrubs, Trees","Bougainvillea bracts come in shades of red, purple, yellow, pink, orange and white. The flowers are generally white.",low
Bouvardia (Firecracker bush; Trumpetellia; Hummingbird flower),"Herbs, Shrubs","Bouvardia comes in shades of white, yellow, pink, orange and red.",low
Brugmansia (Angel's Trumpet),"Shrubs, Trees","The flowers come in shades of white, yellow, pink, orange and red.",low
Buddleia (Butterfly Bush),"Shrubs, Trees","The flowers come in shades of purple, blue, white, pink or red.",low
Calendula (Marigold),"Annuals, Herbs, Perennials",Calendula flowers are usually yellow and orange.,low
Calluna (Heather; Common Heather; Scottish Heather),Shrubs,"This flower comes in shades of red, purple, pink and white.",low
Camellia (Camellia),"Shrubs, Trees","Camellia offers a large palette of colors, from white to yellow, pink red and purple.",low
