name,ir_summary,occasions_summary
Alstroemeria,"White varieties symbolize purity, devotion, and support, while yellow represents happiness and energy. Pink varieties convey romance and playfulness, and red signifies passion. All colors broadly represent mutual support and the strength to achieve personal aspirations.","These blooms are perfect for celebrating friendships, birthdays, or weddings. They also serve as thoughtful gifts for acquaintances or to encourage someone chasing their dreams."
Amaryllis,"These large, striking plants are often associated with pride. In certain historical contexts, this association was viewed as a compliment to a person's beauty.",Amaryllis makes a wonderful holiday gift or a thoughtful gesture for someone you deeply admire or love.
Anemone,"Anemones hold diverse meanings, ranging from protection against evil, disease, and bad luck to the anticipation of the future. They can also symbolize lost affection or the arrival of spring winds.","Use these flowers for funerals, memorials, or as a 'stay well' gift. They are also lovely for celebrating new beginnings like a marriage or a baby's birth."
Anthurium,"This adaptable tropical plant is a well-known symbol of hospitality, happiness, and abundance.","Anthuriums are suitable for nearly any occasion, including weddings, graduations, birthdays, housewarmings, or retirement celebrations."
Arum Lily,"These flowers represent a journey of healing through grief and loss. They provide symbols of love, comfort, and understanding to help one navigate difficult transitions.","Perfect for Easter, Valentine's Day, or Mother's Day, they also serve as meaningful gifts for weddings, anniversaries, and funerals."
Baby’s Breath,"These delicate blooms symbolize everlasting and undying love, purity, and innocence. They can also represent spiritual power, self-discipline, and reconnecting with lost connections.","Commonly used in wedding arrangements, they also make sweet gifts for baby showers or for children."
Begonia,"Begonias can symbolize warnings of future misfortunes or the need for caution. They also represent gratitude, harmonious communication, individuality, and peace.",These flowers are ideal for sending a cautionary message or for celebrating a friend's success and new friendships.
Bellflower,"Blue varieties signify tranquility and friendship, while lilac and purple represent royalty and elegance. Pink varieties denote joy and admiration, and white denotes hope and grace.","Bellflowers are wonderful for expressing gratitude to friends or mothers, and they serve as thoughtful gifts for wedding anniversaries."
Bird Of Paradise,"This unusual flower symbolizes freedom, excellence, and success. It also represents royalty, faithfulness in romance, and a sense of optimism toward the future.","A great gift for birthdays, promotions, or graduations. They are also appropriate for celebrating new beginnings or farewell parties."
Bleeding Heart,"This flower symbolizes deep, passionate love and the ability to express emotions openly. It can also represent compassion or the experience of rejected love.",Use these in wedding bouquets or as Valentine's Day gifts. They are also meaningful for memorializing a lost loved one.
Buttercup,"Buttercups symbolize humility, neatness, and childishness. They also convey the message that your charm dazzles the recipient.","These are appropriate for informal entertaining, housewarmings, and friendship bouquets. They are especially suitable for welcoming someone home or celebrating family reunions."
Cactus,"The cactus flower represents lust, sexual attraction, and the power and loneliness of the desert. It also symbolizes protection, warmth, care, and the ability to endure through difficult times.","A blooming cactus is a thoughtful gift for a child's birthday, a friend facing a difficult journey, or someone celebrating recovery from injury or addiction."
Calla Lily,"These flowers symbolize magnificent beauty, rebirth, and purity. They also represent faith, the ability to overcome challenges, and the innocence of youth.","Appropriate for religious holidays, celebrating a new baby, or recognizing a loved one's professional success. They encourage focusing on beauty and grace through life's challenges."
Camellia,"Camellias express deep longing, admiration, and passion. They also symbolize refinement, perfection, excellence, and faithfulness.","Use pink or red varieties for romantic gestures, and white for sympathy. They are also perfect for expressing gratitude or celebrating joyful news like a new job or home."
candytuft,"Annual Candytuft often symbolizes indifference, apathy, or a sense of reserve and restraint.","Often used in wedding bouquets to convey simplicity, or in memorial services to subtly communicate complex human emotions through an understated presence."
carnation,"Carnations represent love, fascination, distinction, and maternal admiration.","They are versatile gifts for showing support during illness, wishing someone luck before a performance, or expressing deep affection to a partner."
Coneflower,"Coneflowers symbolize strength, health, and resilience. Depending on the variety, they can also represent spiritual power, vitality, and gentle compassion.","These long-lasting blooms are excellent for weddings, birthdays, and anniversaries, or as a thoughtful gift for someone recovering from an illness."
coreopsis,The coreopsis is a flower that is always cheerful.,None
cream daffodil,"Daffodils symbolize new beginnings, rebirth, and vitality. They also represent creativity, inspiration, memory, and forgiveness.","Ideal for Mother's Day, Easter, and springtime celebrations, or as a thoughtful birthday gift especially for those born in March."
Crocus,"The crocus is a symbol of cheerfulness, youthfulness, and glee. It provides an uplifting and joyful effect.","Perfect for spring bouquets, birthdays, or as a delightful gift for young girls to celebrate the return of the season."
Dahlia,"Dahlias symbolize staying graceful under pressure and drawing upon inner strength to succeed. They represent making positive life changes, standing out from the crowd, and finding balance between adventure and relaxation. They can also signify commitment or a warning of betrayal.",These beautiful flowers are perfect for gifting to couples during engagements and weddings as a symbol of an everlasting union.
Daisy,"Daisies commonly symbolize innocence, purity, and new beginnings. They can also represent true love, the ability to keep a secret, and hope. In various cultures, they are associated with the sun and a sense of renewal.","With their themes of innocence and new beginnings, daisies are wonderful gifts for new parents or to show a special someone you are thinking of them."
damask rose,"Pink roses represent happiness, admiration, and elegance. Red varieties symbolize intense love and passion, while white ones convey innocence and purity. Yellow roses can signify friendship or, in some contexts, jealousy and infidelity.","Pink roses are ideal for expressing appreciation or gifting to a hostess. Red roses are perfect for Valentine's Day or proposals, while white roses suit weddings and get-well-soon gestures. Yellow roses celebrate vibrant friendships."
Dandelion,"The humble dandelion symbolizes healing from emotional and physical pain. It represents intelligence, the warmth of the sun, and the ability to survive and thrive through difficult challenges to find long-lasting happiness.","Dandelions are lovely for celebrating the return of summer, overcoming obstacles through intelligence, or simply bringing the joyful energy of youth to an event."
Dogwood,"Dogwoods symbolize rebirth, resurrection, and spiritual purity. They can also represent strength, resilience, and the feelings of pity or regret regarding situations beyond one's control.","Dogwoods are perfect for religious milestones like baptisms, celebrating Easter, or offering condolences. They can also subtly signal affection when a direct approach is not desired."
Edelweiss,"The edelweiss is a symbol of notoriety and adventure. It represents the qualities of great sacrifice and nobility, often associated with those who seek it out in its rare, natural habitat.",An edelweiss can be a way for a brave man to profess his love or a gesture of good faith when providing relief during sickness.
elegant zinnia,"Zinnias embody themes of endurance, goodness, and lasting affection. They are also traditionally used to represent daily remembrance and thoughts of absent friends.","Zinnias make a perfect gift for a friend you miss, a going away present, or for someone you care about deeply."
European columbine,"Columbine can symbolize folly or the figure of a jester. However, a composition of three flowers represents faith, hope, and love, while the Victorian meaning is being resolved to win.",These flowers are popular for wedding decorations and celebrating academic achievements like graduations due to their connection to wisdom and hope.
European goldenrod,Goldenrod serves as a symbol of encouragement and good fortune.,"Because they are believed to bring wealth and happiness, goldenrod makes an excellent housewarming gift."
