name,ir_summary,occasions_summary
Magnolia,"Magnolias symbolize nobility and a love of nature. While pink, purple, and yellow varieties represent the feminine side of life, white magnolias specifically symbolize purity and dignity.","Most commonly used in early spring, magnolias are perfect for adding volume and elegance to any bouquet at any time."
Marigold,"Marigolds represent a complex range of emotions including grief, jealousy, and remembrance, as well as life, warmth, and the drive to succeed. They can also symbolize sacred offerings and the beauty found in humble creations.","Marigolds are suitable for summer birthdays, memorials, and religious ceremonies, or to encourage someone to reach their full potential."
Morning Glory,"Morning glories can represent unrequited love or a love that never ends. While white symbolizes purity, red signifies a strong heart, and the flower itself embodies tenacity and tenderness.",These flowers are the birth flower for September and are perfect for celebrating September birthdays.
mountain peony,"Peonies represent honor, success, and romantic love. Depending on the variety, they can also symbolize beauty, bashfulness, or shame.","Peonies are ideal for romance, admiration, and anniversaries, while white varieties suit weddings and yellow varieties suit birthdays."
Myrtle,"Myrtle symbolizes good luck in love, marriage, and prosperity, as well as chastity and marital fidelity.","Myrtle is appropriate for weddings, communions, and christenings, or as a birthday bouquet to wish luck."
Orchid,"Orchids symbolize love, beauty, and refinement. Color variations offer specific meanings: white for purity, yellow for friendship, pink for femininity, purple for luxury, blue for tranquility, orange for energy, and green for renewal.","Orchids are versatile for anniversaries, congratulations, and milestone birthdays, or as elegant decor for new homes."
pelargonium,Pelargoniums are associated with folly and stupidity.,"These vibrant flowers make great summer gifts for Mother's Day, birthdays, or garden parties."
Periwinkle,"Periwinkles evoke feelings of blossoming friendship, everlasting love, and achieving one's full potential. They can also represent the purity and strength of the Virgin Mary.","They are perfect for expressing support during tough times, celebrating long-lasting friendships, or honoring a memory."
Petunia,"Petunias can have contradictory meanings, ranging from resentment and anger to the soothing feeling of someone's presence.","Potted petunias are excellent hostess gifts for housewarmings, Mother's Day, or celebrating achievements like graduations."
Pinks,"Pinks, often referred to as carnations, symbolize fascination, female love, and affection. They are a classic representation of distinction and a mother's love.","Suitable for nearly any occasion, they are popular for Mother's Day, graduations, and academic awards."
poppy,"Poppies symbolize consolation, restful sleep, and recovery. They are also associated with remembering the fallen in wars, a lively imagination, and peace in death. Additionally, they can represent resurrection, eternal life, beauty, success, and luxury.","Poppies are ideal for funerals, memorial services for veterans, and making offerings at graves. They also suit occasions for encouraging better sleep, expressing love to a spouse, or creating a luxurious atmosphere."
Protea,"The Protea flower symbolizes diversity, daring, transformation, and courage.","These striking flowers are perfect for wedding décor, bridal bouquets, birthdays, and special celebrations where you want to make a lasting impression."
Rhododendron,"While often representing femininity, elegance, and abundance, these flowers can also symbolize temperance, emotional evenness, and the desire to return home. However, they may also carry a warning of danger or death threats if sent in a black vase.","Use these for birthdays between May 20 and June 20, celebrating women, or as a way to remind loved ones to care for themselves and stay grounded."
Rosemallow,"The Rosemallow is a very feminine flower symbolizing delicate beauty. In North America, it represents a perfect wife or woman, while in China, it can symbolize the fleeting nature of fame or personal glory.",These are perfect for grand romantic gestures toward a loved one or as beautiful accents for summer parties.
Sage,Sage symbolizes wisdom and immortality.,Sage is often included in decorations to honor retirees or to celebrate significant life milestones.
Sampaguita,"The Sampaguita represents love, fidelity, devotion, dedication, purity, and divine hope.","These flowers are appropriate for weddings, religious ceremonies, and as thoughtful gifts for mothers, grandmothers, or close female friends."
sea aster,"Sea asters symbolize love, daintiness, elegance, and patience. They can also represent a sense of variety or a longing for things to have happened differently.",Aster is a perfect addition to floral arrangements and is commonly used as a September birthday or 20th wedding anniversary gift.
Snapdragon,"Snapdragons embody both grace and strength, though they can also symbolize deception or deviousness.","They are great for supporting people through challenging times, such as job loss or illness, and for expressing romantic or platonic interest."
Snowdrop,"Snowdrops primarily symbolize purity, hope, and rebirth. They are also used to express consolation or sympathy.",Snowdrops are appropriate for expressing sympathy after a loss or for celebrating optimistic occasions like weddings.
Spiked Speedwell,Spiked Speedwell symbolizes feminine fidelity.,"These are ideal for expressing get well soon messages, weddings, christenings, or church-related events."
Star Of Bethlehem,"This flower is associated with the birth of Christ and symbolizes innocence, purity, honesty, hope, and forgiveness. It is often used in religious ceremonies to represent the Christ child.","Appropriate for nearly any arrangement, including weddings, christenings, birthdays, and anniversaries, it is an ideal choice for adding hope and purity to wedding décor and bridal bouquets."
Stargazer,"Stargazer lilies symbolize spiritual purity, optimism, and the achievement of lofty goals. They represent reaching a paradise or experiencing limitless opportunities and prosperity.","Use these flowers to celebrate graduations, provide a breath of fresh air in a home, or keep a vase on your desk to stay motivated toward your future."
Statice,"The meaning of Statice depends on the occasion, though it primarily symbolizes remembrance, sympathy, and success.","A versatile filler for reunions, birthdays, graduations, or office bouquets, it is also commonly used in memorial services and funeral flowers."
Stock,"This distinctive and fragrant flower symbolizes a long life filled with happiness, success, and contentment. It represents spiritual purity and a life of beauty that does not fade with time.","Ideal for weddings, anniversaries, birthdays, first communions, and celebrating positive life changes like relocations or the arrival of a new child."
sweet pea,"Sweet peas represent blissful pleasures, gratitude, and saying goodbye after a lovely time.",Their message of happiness and gratitude makes them a wonderful choice for thank you bouquets.
Tansy,"Tansy is a bitter, highly aromatic herb that symbolizes hostile thoughts or declaring war.","Traditionally used to treat intestinal parasites, it is also used externally to treat scabies and repel insects."
Tulip,"Tulips represent enduring love, passion, and royalty. They can also symbolize abundance, prosperity, charity, or even neglected love.","Perfect for romantic occasions like Valentine's Day, as well as Mother's Day, birthdays, weddings, or expressing sympathy and congratulations."
Wisteria,"Wisteria symbolizes good luck, youthful vitality, and serious devotion. It is also associated with welcoming someone to a new home or celebrating new births.","These blossoms are perfect for celebrating new beginnings, such as a new marriage, a new business, or welcoming a new family member."
Yarrow,Yarrow flowers are a symbol of everlasting love.,"Often given to symbolize care, support, and resilience, they are a thoughtful choice for weddings or occasions requiring encouragement and healing."
