name,scientific_name,color,planttype,maintenance,meaning,Special Occasions
Magnolia,magnolia,pink,"Shrubs, Trees",low,"Nobility; Love of nature; magnolia meanings depend on the color of the flower and the immediate culture of the person giving and receiving the flowers. usually, magnolias are given as presents from men to women as if the men are saying, “you are worthy of a beautiful magnolia.” a magnolia often symbolizes yin, or the feminine side of life. white magnolias symbolize purity and dignity.","While most commonly used in the early springtime when they’re in bloom, there is never a bad time to give a bit of magnolia! They are perfect to adding volume and elegance to any bouquet."
Magnolia,magnolia,purple,"Shrubs, Trees",low,"Nobility; Love of nature; magnolia meanings depend on the color of the flower and the immediate culture of the person giving and receiving the flowers. usually, magnolias are given as presents from men to women as if the men are saying, “you are worthy of a beautiful magnolia.” a magnolia often symbolizes yin, or the feminine side of life. white magnolias symbolize purity and dignity.","While most commonly used in the early springtime when they’re in bloom, there is never a bad time to give a bit of magnolia! They are perfect to adding volume and elegance to any bouquet."
Magnolia,magnolia,white,"Shrubs, Trees",low,"Nobility; Love of nature; magnolia meanings depend on the color of the flower and the immediate culture of the person giving and receiving the flowers. usually, magnolias are given as presents from men to women as if the men are saying, “you are worthy of a beautiful magnolia.” a magnolia often symbolizes yin, or the feminine side of life. white magnolias symbolize purity and dignity.","While most commonly used in the early springtime when they’re in bloom, there is never a bad time to give a bit of magnolia! They are perfect to adding volume and elegance to any bouquet."
Magnolia,magnolia,yellow,"Shrubs, Trees",low,"Nobility; Love of nature; magnolia meanings depend on the color of the flower and the immediate culture of the person giving and receiving the flowers. usually, magnolias are given as presents from men to women as if the men are saying, “you are worthy of a beautiful magnolia.” a magnolia often symbolizes yin, or the feminine side of life. white magnolias symbolize purity and dignity.","While most commonly used in the early springtime when they’re in bloom, there is never a bad time to give a bit of magnolia! They are perfect to adding volume and elegance to any bouquet."
Marigold,tagetes,orange,Annual,low,"Grief; Jealousy; life; death; remembrance; aside from being an important part of any organic garden as a pest deterrent, the marigold has loftier meanings like: despair and grief over the loss of love the beauty and warmth of the rising sun winning the affections of someone through hard work creativity and the drive to succeed desire for wealth cruelty and coldness due to jealousy sacred offerings to the gods remembering and celebrating the dead promoting cheer and good relations in a relationship while the marigold has picked up a few negative connotations over the years, most of what it means remains positive in contemporary times.","grab a pot or vase of marigolds for: summer birthdays memorials for lost loved ones religious ceremonies expressing your jealousy when trapped in a love triangle encouraging someone else to reach their potential the marigold flower’s message is… even the humblest creations contain their own special beauty to share with the world. just like the sun returns in full each summer and hides away in the winter, you must find your own balance between shining and keeping your light under wraps."
Marigold,tagetes,white,Annual,low,"Grief; Jealousy; life; death; remembrance; aside from being an important part of any organic garden as a pest deterrent, the marigold has loftier meanings like: despair and grief over the loss of love the beauty and warmth of the rising sun winning the affections of someone through hard work creativity and the drive to succeed desire for wealth cruelty and coldness due to jealousy sacred offerings to the gods remembering and celebrating the dead promoting cheer and good relations in a relationship while the marigold has picked up a few negative connotations over the years, most of what it means remains positive in contemporary times.","grab a pot or vase of marigolds for: summer birthdays memorials for lost loved ones religious ceremonies expressing your jealousy when trapped in a love triangle encouraging someone else to reach their potential the marigold flower’s message is… even the humblest creations contain their own special beauty to share with the world. just like the sun returns in full each summer and hides away in the winter, you must find your own balance between shining and keeping your light under wraps."
Marigold,tagetes,yellow,Annual,low,"Grief; Jealousy; life; death; remembrance; aside from being an important part of any organic garden as a pest deterrent, the marigold has loftier meanings like: despair and grief over the loss of love the beauty and warmth of the rising sun winning the affections of someone through hard work creativity and the drive to succeed desire for wealth cruelty and coldness due to jealousy sacred offerings to the gods remembering and celebrating the dead promoting cheer and good relations in a relationship while the marigold has picked up a few negative connotations over the years, most of what it means remains positive in contemporary times.","grab a pot or vase of marigolds for: summer birthdays memorials for lost loved ones religious ceremonies expressing your jealousy when trapped in a love triangle encouraging someone else to reach their potential the marigold flower’s message is… even the humblest creations contain their own special beauty to share with the world. just like the sun returns in full each summer and hides away in the winter, you must find your own balance between shining and keeping your light under wraps."
Morning Glory,ipomoea,purple,"Perennials, Annuals",low,"ipomoea comes from the latin prefix ip meaning worm and homolas which means like. so this beautiful flower was name after it’s growth habit which is worm like. symbolism of the morning glory the morning glory has a number of meanings. the chinese folklore of this flower symbolizes that lovers may only meet on one special day out of the year. the story behind this is that two young people fell deeply in love neglecting all of their responsibilities. as more and more chores were ignored the heavens started to rumble with the gods dissatisfaction. so, they decreed that the lovers could meet just one day out of the year. morning glories also mean unrequited love. they can be found in victorian literature and on victorian gravestones to signify a love that never ended. conversely, it can mean that a potential love was never reciprocated. christians believed that the morning glory related directly to the finite nature of life on earth, each single flower representing one life and life being represented by the daylight hours of the sun, withering and finally dying by nightfall. morning glory flower color meanings morning glory flowers can be found in blue, purple, red, white and yellow and variations of these colors. some can be eight inches across; these are actually the familiar fragrant moon flowers found in many gardens. the color meaning of white symbolizes purity in the the morning glory while red symbolizes a strong heart. meaningful botanical characteristics of the morning glory flower morning glory seeds are used in chinese medicine to treat disorders of the lungs, kidneys and large intestine. they have a purgative effect and can reduce or clear phlem in the lungs. they can act as a diuretic for the kidneys which reduces swelling in the body. (2)if morning glory seeds are eaten a person could have a hallucinogenic episode similar to a lsd experience. the active ingredients in morning glory seeds are lysergic acid amide, a close relative to lsd. if necessary, the morning glory can be used to induce labor during pregnancy. the morning glory seeds were used in mexican culture in religious ceremonies to induce a dream like state in order to better commune with the gods. morning glories can be toxic and will cause nerve damage in larger doses than recommended. the flower and it’s stems, leaves and seeds must be used with great caution. the morning glory root was used by native americans to make a tea which was especially effective for coughs because of it’s ability to remove phlem. the leaves were powdered and dried and made into a tea to treat stomach problems and headaches. (3) morning glory wine can be made from the flower petals if they are soaked in purified cold water for about two weeks. the morning glory flower interesting facts one variety, the ipomoea quamoclit has cypress like leaves that are finely cut instead of the typical heart shaped leaves found on most ipomoeas the ipomoea lobata variety has red elongated flowers – that are a closed tubular form, not funnel or start shaped. there are about five to a stem that start out pure red then progressively get lighter and larger as you get closer to the bottom of the stem. the leaves are the heart shaped leaves of many morning glories the sweet potato is in the ipomoea family of plants offer the morning glory on these occasions i would offer the morning glory as a symbol to a person who needs some tenacity to go after their dreams. morning glories take each twist and turn in the road (or on the trellis!) in their stride and just keep on going. this is the key to their success. morning glories are also the birth flower for those born in september. i would offer them for september birthdays either as a potted plant or maybe a diary with an embossed design of a morning glory on it. the morning glory flower’s message tenacity and tenderness in all things, be gentle but strong in your endeavors with other people, animals and nature. above all hold fast to your goals.","Morning glories are often associated with September and are considered a birth month flower for those born in this month."
Morning Glory,ipomoea,blue,"Perennials, Annuals",low,"ipomoea comes from the latin prefix ip meaning worm and homolas which means like. so this beautiful flower was name after it’s growth habit which is worm like. symbolism of the morning glory the morning glory has a number of meanings. the chinese folklore of this flower symbolizes that lovers may only meet on one special day out of the year. the story behind this is that two young people fell deeply in love neglecting all of their responsibilities. as more and more chores were ignored the heavens started to rumble with the gods dissatisfaction. so, they decreed that the lovers could meet just one day out of the year. morning glories also mean unrequited love. they can be found in victorian literature and on victorian gravestones to signify a love that never ended. conversely, it can mean that a potential love was never reciprocated. christians believed that the morning glory related directly to the finite nature of life on earth, each single flower representing one life and life being represented by the daylight hours of the sun, withering and finally dying by nightfall. morning glory flower color meanings morning glory flowers can be found in blue, purple, red, white and yellow and variations of these colors. some can be eight inches across; these are actually the familiar fragrant moon flowers found in many gardens. the color meaning of white symbolizes purity in the the morning glory while red symbolizes a strong heart. meaningful botanical characteristics of the morning glory flower morning glory seeds are used in chinese medicine to treat disorders of the lungs, kidneys and large intestine. they have a purgative effect and can reduce or clear phlem in the lungs. they can act as a diuretic for the kidneys which reduces swelling in the body. (2)if morning glory seeds are eaten a person could have a hallucinogenic episode similar to a lsd experience. the active ingredients in morning glory seeds are lysergic acid amide, a close relative to lsd. if necessary, the morning glory can be used to induce labor during pregnancy. the morning glory seeds were used in mexican culture in religious ceremonies to induce a dream like state in order to better commune with the gods. morning glories can be toxic and will cause nerve damage in larger doses than recommended. the flower and it’s stems, leaves and seeds must be used with great caution. the morning glory root was used by native americans to make a tea which was especially effective for coughs because of it’s ability to remove phlem. the leaves were powdered and dried and made into a tea to treat stomach problems and headaches. (3) morning glory wine can be made from the flower petals if they are soaked in purified cold water for about two weeks. the morning glory flower interesting facts one variety, the ipomoea quamoclit has cypress like leaves that are finely cut instead of the typical heart shaped leaves found on most ipomoeas the ipomoea lobata variety has red elongated flowers – that are a closed tubular form, not funnel or start shaped. there are about five to a stem that start out pure red then progressively get lighter and larger as you get closer to the bottom of the stem. the leaves are the heart shaped leaves of many morning glories the sweet potato is in the ipomoea family of plants offer the morning glory on these occasions i would offer the morning glory as a symbol to a person who needs some tenacity to go after their dreams. morning glories take each twist and turn in the road (or on the trellis!) in their stride and just keep on going. this is the key to their success. morning glories are also the birth flower for those born in september. i would offer them for september birthdays either as a potted plant or maybe a diary with an embossed design of a morning glory on it. the morning glory flower’s message tenacity and tenderness in all things, be gentle but strong in your endeavors with other people, animals and nature. above all hold fast to your goals.","Morning glories are often associated with September and are considered a birth month flower for those born in this month."
Morning Glory,ipomoea,red,"Perennials, Annuals",low,"ipomoea comes from the latin prefix ip meaning worm and homolas which means like. so this beautiful flower was name after it’s growth habit which is worm like. symbolism of the morning glory the morning glory has a number of meanings. the chinese folklore of this flower symbolizes that lovers may only meet on one special day out of the year. the story behind this is that two young people fell deeply in love neglecting all of their responsibilities. as more and more chores were ignored the heavens started to rumble with the gods dissatisfaction. so, they decreed that the lovers could meet just one day out of the year. morning glories also mean unrequited love. they can be found in victorian literature and on victorian gravestones to signify a love that never ended. conversely, it can mean that a potential love was never reciprocated. christians believed that the morning glory related directly to the finite nature of life on earth, each single flower representing one life and life being represented by the daylight hours of the sun, withering and finally dying by nightfall. morning glory flower color meanings morning glory flowers can be found in blue, purple, red, white and yellow and variations of these colors. some can be eight inches across; these are actually the familiar fragrant moon flowers found in many gardens. the color meaning of white symbolizes purity in the the morning glory while red symbolizes a strong heart. meaningful botanical characteristics of the morning glory flower morning glory seeds are used in chinese medicine to treat disorders of the lungs, kidneys and large intestine. they have a purgative effect and can reduce or clear phlem in the lungs. they can act as a diuretic for the kidneys which reduces swelling in the body. (2)if morning glory seeds are eaten a person could have a hallucinogenic episode similar to a lsd experience. the active ingredients in morning glory seeds are lysergic acid amide, a close relative to lsd. if necessary, the morning glory can be used to induce labor during pregnancy. the morning glory seeds were used in mexican culture in religious ceremonies to induce a dream like state in order to better commune with the gods. morning glories can be toxic and will cause nerve damage in larger doses than recommended. the flower and it’s stems, leaves and seeds must be used with great caution. the morning glory root was used by native americans to make a tea which was especially effective for coughs because of it’s ability to remove phlem. the leaves were powdered and dried and made into a tea to treat stomach problems and headaches. (3) morning glory wine can be made from the flower petals if they are soaked in purified cold water for about two weeks. the morning glory flower interesting facts one variety, the ipomoea quamoclit has cypress like leaves that are finely cut instead of the typical heart shaped leaves found on most ipomoeas the ipomoea lobata variety has red elongated flowers – that are a closed tubular form, not funnel or start shaped. there are about five to a stem that start out pure red then progressively get lighter and larger as you get closer to the bottom of the stem. the leaves are the heart shaped leaves of many morning glories the sweet potato is in the ipomoea family of plants offer the morning glory on these occasions i would offer the morning glory as a symbol to a person who needs some tenacity to go after their dreams. morning glories take each twist and turn in the road (or on the trellis!) in their stride and just keep on going. this is the key to their success. morning glories are also the birth flower for those born in september. i would offer them for september birthdays either as a potted plant or maybe a diary with an embossed design of a morning glory on it. the morning glory flower’s message tenacity and tenderness in all things, be gentle but strong in your endeavors with other people, animals and nature. above all hold fast to your goals.","Morning glories are often associated with September and are considered a birth month flower for those born in this month."
