common_name,meaning,occasions,scientific_name
Alstroemeria,"bold look alstroemeria hints at depth symbolism behind petals. tropical beauty means devotion and mutual support, between two family members or friends since flower grows natively in peru and only recently spread other parts world, no meaning for flower in classical victorian tradition. however, modern flower fans still assign lovely petals plenty meaning. symbolizes power friendship and mutual bond support between two people. even in more passionate colors, meanings remain based on friendship instead romance. some metaphysical believers keep flowers around attract new friends into their lives.","celebrate an anniversary your friendship with life long best friend by handing over giant bouquet colorful alstroemeria blossoms. you’ll really impress an acquaintance who helped you out tight spot with gift single flower as well. if you’re not sure kind flowers give family member for birthday, bloom perfect for purpose as well.",Alstroemeria
Amaryllis,"since plants so large, they seem call attention themselves by towering over other nearby flowers. they first came attention european gardeners in 1800s. they seemed awfully grand victorians, so they became associated with pride. however, calling someone “full pride” was often compliment in victorian times. prideful women were often thought be beautiful. although taxonomists and botanists may quibble over exact species amaryllises, symbolism hasn’t changed much in centuries. in antiquity, amaryllis symbolizes blood love-struck nymph amaryllis. for victorian gentlemen, an amaryllis means strong, self-confident and very beautiful woman. star-shaped or trumpet-shaped amaryllis also symbolizes pride.",,
Anemone,beautiful anemone flower symbolizes:,"with such variety different meanings, you use anemone flowers for occasions like:",
Anthurium,"tropical plant adapts nearly any environment and produces new flowers all year, giving reputation as hospitality plant. but, other meanings too. anthurium flower known universally as symbol hospitality, as exotic beauty thrives in nearly any location in home or office. requires little care other than watering and occasional fertilizing and tolerates wide range light conditions. as cut flower, blooms long-lasting and retain their beauty and form in floral bouquets. they often used in bridal bouquets or other wedding arrangements. as potted plant, anthurium plant symbolizes abundance and happiness home. makes delightful hostess or housewarming gift for reason.","anthurium flowers appropriate for nearly an occasion and lend tropical touch floral displays. they be used in wedding décor, for graduations and promotions, or for other celebrations. flowers suitable in mixed arrangements and floral displays or all kinds. although they not an official birth flower for any month, they suitable for expressing birthday wishes.the flowers typically used in mixed bouquets, but be used singly.",anthurium
Aster,aster enjoyed rich cultural history filled with legends magical gods and goddesses.,,Aster
Azalea,"azalea tends represent good qualities personalities, but also symbolizes specific emotions or events. many people feel flower means: meanings azalea come primarily from victorian society, eastern cultures, and united states. british gardeners considered plant reserved and self-managed addition, so victorian flower language association became temperance. was often sent as gift one person urged another reconsider their feelings or hold back from making public display affection. japanese and chinese gardeners considered sweet reminder time spent at home instead. since blooms fall off shrub brushed by passing person or strong breeze, connection fragile or developing love still fail blossom. dark meaning azalea drawn from its toxicity – even honey made from flowers life-threatening, so don’t send someone bouquet in black vase unless you want scare them!",give gift azaleas for: birthdays falling between may 20 and june 20,Rhododendron
Baby Breath,"many people have marveled at baby’s breath peeking out their corsage without knowing deeper meaning behind it. these bright white dots symbolize everlasting and undying love, including family, platonic, and romantic bonds most people know baby’s breath flower as iconic symbol long lasting love because it’s commonly used round out wedding bouquets and centerpieces. tiny white flowers represent purity emotion two people should have for each other during wedding ceremony. aside from marriage connotations, baby’s breath also tied babies in an obvious way. it’s traditional give new mothers floral arrangements featuring at least one or two sprigs plant. self discipline and fidelity modern meaning for classic flower.",include baby’s breath in your,
Begonia,"begonia an interesting flower because some less than positive meanings. however, caution engendered in bloom more watchfulness guard dog than panic or fear person expecting worst. aside from watchfulness, begonia also represents connections between people and good communication. since naming flower was tribute helpful public official, you also give potted begonia someone who helps you finish up some paperwork or expedite decision. finally, don’t forget about how begonias stand out from crowd and feature their own individual nature.","trying warn someone watch out? pot living begonias perfect gift for sending message. you also bridge divide and start new friendship with these flowers, or celebrate success friend who been struggling.",
Bird Of Paradise,,"wondering splurge on big bird paradise as gift for someone else? stick with an appropriate occasion like: birthdays, especially for adults already have everything else congratulating someone on promotion, graduation, or other success",Strelitzia
Bleeding Heart,"eye catching flower carries meanings like: bleeding heart one most literal flowers used symbolically today. blooms resemble classical cartoon heart with drops blood falling out it. japanese folklore also tale about spurned prince who killed himself by sword lovely maiden rejected his gifts, which all represented by different petals from flower. in american and british culture, bleeding heart passionate meaning and often exchanged as symbol true love. some religious groups choose plant flower as reminder compassion for suffering others. represent people who share their emotions freely and wear their heart on their sleeve too.",celebrate with bleeding heart by:,Dicentra
Buttercup,"buttercup flower more than kid’s flower and symbolism its own. under normal circumstances, buttercup means: buttercup’s primary meaning lightness and joy, but in some rural areas where buttercup considered noxious weed, sometimes symbolizes ingratitude.",buttercups appropriate for informal entertaining and gift giving. consider buttercups in combination with other wildflowers for these special occasions.,Ranunculus
Cactus,"cactus flower one those interesting blooms symbolizes two opposite meanings in one package. in japanese tradition hanakotoba, giving gift flower from cactus clear way indicate you’re sexually attracted towards someone due its connection with lust. in contrast, many western people view as symbol chastity instead due spines. it’s up you decide which cactus flower meaning best fits your purposes. other meanings include endurance, thriving despite challenges, sharing love and warmth with your child, and drawing inspiration from emptiness desert.","don’t be afraid give blooming cactus as gift for your child’s birthday, as long as they restrain urge feel spines",
Calla Lily,"flower not technically part real lily family. instead, it’s different type flower with bloom similar other true lilies. most common meanings bloom include magnificent and overwhelming beauty, in classic victorian language flowers and ancient greek tradition resurrection and rebirth, since plant returns each year after winter faith and purity, especially in christian religions overcoming challenges, since cut flowers start regrowing in vase and survive frosts liveliness and innocence youth. most people first encounter flower decorating for easter or choosing live plant send as gift for holiday. it’s also used around christmas as well, hothouse specimens available. striking flower symbolizes resurrection jesus many people, or just rebirth in more general sense. due white and waxy blooms poking out dark foliage, flower earned connection innocence and purity too. it’s only natural it’s connected with youth as well.","calla lilies make appropriate gifts for many religious holidays due associations with virgin mary and jesus. aside from those occasions, consider giving gift flowers for birth new baby or child’s birthday. you also try celebrating loved one’s success at work with bunch orange or yellow blooms.",Zantedeschia
Camellia,"camellia flower speaks heart and expresses positive feelings. it’s most common meanings are: camellia flower enjoyed rich history, including its reported inclusion in secret gardens chinese emperors. china – camellia flower highly regarded in china and even considered national flower southern china. camellia flower symbolizes young sons and daughters. japan – in japan camellia flower called “tsubaki” and symbolizes divine. often used in religious and sacred ceremonies. also represents coming spring. korea – in korea camellias flowers symbol faithfulness and longevity. they have been part traditional korean wedding ceremonies since 1200 b.c. victorian england – in victorian england camellia bloom sent secret message recipient was adorable. united states – camellia flower state flower for alabama and typically represents southern beauty.",,
Carnation,"carnation means depends on circumstances and color symbolism bloom, but some common meanings apply all carnations. ancient roman legend: according legend, carnation flower appeared after crucifixion christ. mother mary wept at death her son, her tears fell earth. carnations sprang forth from each spot where mary’s tears stained earth. legend lends credence theory carnation earned its name from incarnation. korean culture: koreans use carnation foretell fortune young girls. upon placing three freshly cut carnations in her hair, young girl charged with observing which three will die first. if top flower dies off first, indicates latter years girl’s life will be filled with strife. if middle flower fades first, indicates she will experience turmoil during her youth. if lower flower dies and fades first, indicates young woman will face great challenges throughout her lifetime. chinese culture: carnation used in weddings in china. in fact, most common flower used in chinese wedding ceremonies. japanese culture: in japan, red carnation symbolizes love and most common flower for mother’s day. victorian: during victorian times, flowers often sent secret, coded message suitor or secret admirer. sometimes, they also answered secret question. solid colored carnation meant answer was “yes”. striped carnation signified “i’m sorry, but i can’t be with you.” yellow carnation symbolized “no”. united states: carnations official flowers for mother’s day. they also worn in corsages and boutonnieres for prom and other special events. green carnation typically worn on st. patrick’s day. also birth flower for january.","carnations appropriate for nearly any occasion, as they symbol both love and distinction. carnation in school colors often presented graduates or recipients academic and sports awards. pink carnations popular for mother’s day while green carnation prized on st. patrick’s day.",Dianthus
Chrysanthemum,"as bloom great importance, chrysanthemum symbolizes concepts like: lasting friendship and non-romantic affection as november’s official flower month, chrysanthemum brings us message even beginning winter have joy and beauty. it’s also traditional flower choice for mother’s day gifts in australia. victorians considered strictly flower friendship and well-wishing for people in need rest, so deep red chrysanthemum passion were rarely passed around in society. chrysanthemum also flower representing royal family emperor in japan. floral specialists in u.s. generally consider chrysanthemum means cheerfulness and positivity, but in new orleans only used for all saints day celebrations and become symbol honored dead in city. it’s called one four gentlemen in chinese culture, which reflects flower’s importance as symbol in artwork.",,Chrysanthemum
Columbine,"columbines have been mentioned or depicted in christian religion over many centuries. christians believed columbine meaning 1 seven gifts holy spirit and these included: wisdom, intellect, reverence or piety, strength, advise, knowledge and fear (fear god or fear doing wrong in eyes god). celtics believed in world dreams and visions and columbines were portal world. austrians believed columbine symbolizes five doves in circle. it’s funny you see in flower.",,Aquilegia
Crocus,crocus symbol crocus long been symbol youthfulness and cheerfulness. flower was used by ancient greeks ward off fumes liquor by weaving crocus flower into wreaths for head. egyptians also used crocus flowers dispel fumes from intoxicating liquors by placing spray flowers on wine glasses. ancient romans were so fond fragrance crocus they devised an apparatus emit fine spray its scent on guests as they entered banquets. fragrance crocus was thought inspire love was even believed bloom at midnight on valentine’s day.,crocus perfect flower for spring bouquets and appropriate as gift between friends or celebrate birthdays and other special occasions. an appropriate flower for young girls.,
Daffodil,"while daffodil’s primary symbolism new beginnings, rebirth and coming spring, many others. some most common meanings for daffodil flower are: daffodil similar uplifting meanings across cultures, probably because bright flower appears as cold, dark days winter wane and warm rays spring appear. china: daffodil symbolizes good fortune in chinese culture. in fact, so esteemed for its ability bring forth positive things official symbol chinese new year. japan: japanese people, daffodil means mirth and joyousness. france: in france, daffodil sign hope. wales: welsh legend claims person find first daffodil bloom will be blessed with more gold than silver in upcoming year. arabian countries: arabians believe daffodil flower was an aphrodisiac and cure for baldness. medieval europe: medieval europeans believed if your gaze caused daffodil droop was an omen impending death. united states: in united states, daffodil official symbol for american cancer association, symbolizing hope for cure. also flower for month march and symbol 10 th wedding anniversary.",,Narcissus
Daisy,"at first, seem be as many meanings for daisies as species daisies. however, most generally accepted meanings are: innocence, especially with white daisies with yellow or pale centers. purity – also shown by daisies as white as possible. new beginnings, which why they often found in bouquets for new mothers or as gifts for children. true love – because each daisy flower really two flowers blended together in harmony. sender keep secret. keeping secret one way person exhibit they truly love another. in modern paganism, daisies symbolize sun just because they seem appear like stars or suns. in victorian times, different species daisies symbolized different things:",,Leucanthemum
Dandelion,"common and humble dandelion surprising amount different meanings. dandelion means: as such common weed, dandelion didn’t even merit mention in victorian language flowers. didn’t stop medieval peasants and modern spiritualists from considering symbolic flower. most modern admirers consider symbol fighting through challenges life and emerging victorious on other side. others use as visual reminder sun’s power, especially depression or grief makes hard stay sunny. course, long running folk belief blowing out white puffball seeds flowers turns into will grant you one wish. others use as reminder use intelligence in dealing with every kind situation. finally, most people agree dandelion looks so cheerful and happy, even taking over sidewalk or shading out grass in lawn.",gather up small informal bouquet dandelions from your yard for occasions like:,
Delphinium,"member buttercup family doesn’t sport same cheery yellow color, but it’s still important in mythology and modern symbolism alike. delphinium means humble flower grows wild in both europe and united states, so was common dye plant for both native americans and european settlers who moved in with them. aside from being picked for dye, plant was also gathered communicate cheer and good will towards others. it’s also considered protective plant in traditional lore because peasants used pick flowers and carry them protect against scorpion stings. some people exchange these flowers encourage each other reach their goals, while others plant them in remembrance lost loved ones due deep blue color.","grab few dark blue larkspurs you want encourage family member try their best at test or job interview. if you know someone with july birthday, these flowers make perfect gift since it’s birth flower month.",
Dogwood,"none dogwood species currently growing native middle east where christianity first developed. however, same symbolism generally applied all types dogwoods regardless native status. tree means: rebirth and resurrection, particularly through story jesus christ dogwood primarily symbol christianity. outside tradition, not considered birth flower or used for arrangements. victorians did ascribe an extra meaning flower because story tying tree crucifixion wasn’t written yet. bachelor offer dogwood flower sprig woman he felt affection towards and waited for response. if flower was returned, he was out luck. woman keeping flower signaled an interest or mutual attraction. flower was also symbol reliability and durability during era due strength wood.","dogwood flowers perfect for: recognizing religious milestone like first communion, baptism, or confirmation",Cornus
Edelweiss,"edelweiss flower means notoriety in its complete essence. it’s prized where naturally grows and created be symbol by its local region because it’s only obtained by few lies waiting in its natural habitat. it, therefore, captivates symbolic qualities adventure and great sacrifice.","should man be brave and stout, an edelweiss might be right flower profess his love. flower be great symbol love daring men take hold mountains and elevate way through dangers falling and inclement weather. lucky women found be reason for such an occasion will surely know honor man seeking impress her. flower also have been given soothe body diphtheria or tuberculosis. taken as tea, these ailments given relief and was gesture good faith been giving you during sickness.",
Eustoma Flower,"eustoma potent symbol with primarily modern meanings. blossom means eustoma flower meaning list begins with general feeling happiness and joy. it’s perfect flower for using in wedding, birthday, and party bouquets for reason. aside from joy, you also use flower symbolize contentment, peace, and love for other people. there’s also touch social power bloom as well. it’s ideal for convincing someone you’re charismatic or recognizing social skills other people.","grab small bouquet eustoma you’re ready celebrate love you have for friend or as birth flower. course, red and pink varieties also work for deep affection on romantic level. it’s also nice gift give after someone uses their social skills earn promotion or get new job.",
Frangipani,"few different cultures have assigned meanings frangipani flower, including modern american culture. these meanings include: modern florists often recommend frangipani as gift for someone who endured many challenges because plant must be heated over 500 degrees f catch alight and start burning. aside from natural toughness, delicate look flower makes symbol grace, wealth, and perfection across asia. however, many people in china and vietnam consider unlucky because folk belief ghosts and other spirits live in branches bush. as wedding flower across southern india, symbolizes lasting bond between married couple. chinese people also use indicate affection and love it’s inappropriate speak about those feelings openly. swahili poets also use as symbol love, while buddhist and hindu followers consider sign immortality and continuation soul after death.","give gift fragrant frangipani for: weddings, especially between two very compatible people",Plumeria
Freesia,"beautiful freesia several related meanings. freesia blooms typically mean: freesias popular wedding flowers across globe. these tiny flowers add color and fragrance any floral display and often used in bridal bouquets, boutonnieres or even as table centerpieces at weddings. in context, white freesia flower means innocence and purity. freesias also used as thank you someone who performed gracefully under difficult conditions. their delicate nature makes them especially appropriate for young girls after dance or other artistic performance. in context, color flower doesn’t matter. choose one in her favorite color or matches theme event. in victorian times, flowers often carried secret messages dare not be spoken, freesia symbolized trust. in united states, freesia symbol for seventh wedding anniversary.",,
Gardenia,"in victorian times flowers were used convey messages between people. person was unable outright express their feelings love for another, was and still common practice say with flowers. while any type flowering plant will do, if you want express your love and devotion someone but don’t want your identity be known, gardenia flower give as present. signifies secret love or an untold love. gardenias also given convey “you’re lovely”. used in way, gardenia flower be given lovers, friends, and even family. it’s way telling them how lovely they are. and because color gardenia white, also signifies purity. flower wonderful addition wedding bouquet as fits any color theme and also brings message love and purity. other commonly associated meanings are: gardenia leaves shiny, and waxy. symbolic clarity. in addition, it’s symbolic self-reflection. in fact, many earth worshiping sects subscribe time with gardenia in meditation in order come core oneself for understanding and enlightenment. gardenia flowers also symbolize protection. they naturally deter certain insects. metaphorically and energetically, they help dispel bad feelings or energies in our lives. in numerology gardenia number 8. planet saturn as symbol and reflects characteristics freedom, vision and expansiveness.",,
